Report_Date,Region,Facility_ID,Parent_Facility_ID,Product_Program,Management_Status,Facility_Type,Committed/Uncommitted,Risk_Category,Relationship_ID,Relationship_Name,CAID,Lead_Underwriter,Underwriting_Team_Lead,Control_Unit,Fac_Amount,Total_Reported_Fac_Amount,Direct_OS,Contingent_OS,PSE_OS,Unused_Committed,Total_Comm_Exposure,Maturity_Date,Prodict_Underwriter,CA_Expiration_Date
2024-01-15,NAM,FAC001,PFAC001,Commercial Lending,Active,Term Loan,Committed,Low,REL001,ABC Corporation,CAID001,John Smith,Jane Doe,CU-001,5000000,5000000,3000000,500000,0,1500000,5000000,2025-12-31,John Smith,2025-06-30
2024-01-15,NAM,FAC002,PFAC001,Commercial Lending,Active,Revolving Credit,Committed,Medium,REL002,XYZ Industries Inc.,CAID002,Sarah Johnson,Michael Brown,CU-002,3500000,3500000,2000000,300000,0,1200000,3500000,2025-09-30,Sarah Johnson,2025-03-31
2024-01-15,EMEA,FAC003,PFAC002,Real Estate,Active,Mortgage,Committed,Low,REL003,Global Realty Partners,CAID003,Robert Lee,Emily Davis,CU-003,8000000,8000000,6000000,1000000,0,1000000,8000000,2026-06-30,Robert Lee,2026-03-31
2024-01-15,APAC,FAC004,PFAC003,Trade Finance,Active,Letter of Credit,Uncommitted,High,REL004,Pacific Trade Co.,CAID004,David Chen,Lisa Wang,CU-004,2000000,2000000,1500000,200000,0,300000,2000000,2025-03-31,David Chen,2025-01-31
2024-01-15,LATAM,FAC005,PFAC004,Project Finance,Active,Term Loan,Committed,Medium,REL005,South American Ventures,CAID005,Maria Garcia,Carlos Rodriguez,CU-005,6000000,6000000,4500000,800000,0,700000,6000000,2026-12-31,Maria Garcia,2026-06-30
2024-01-15,NAM,FAC006,PFAC005,Equipment Finance,Active,Lease,Committed,Low,REL006,Tech Solutions LLC,CAID006,James Wilson,Patricia Martinez,CU-006,1500000,1500000,1000000,100000,0,400000,1500000,2025-08-31,James Wilson,2025-04-30
2024-01-15,EMEA,FAC007,PFAC006,Corporate Banking,Active,Overdraft,Committed,Medium,REL007,European Holdings Group,CAID007,Thomas Anderson,Jennifer Taylor,CU-007,4000000,4000000,2800000,400000,0,800000,4000000,2025-11-30,Thomas Anderson,2025-05-31
2024-01-15,APAC,FAC008,PFAC007,Asset Finance,Active,Term Loan,Committed,Low,REL008,Asian Development Corp,CAID008,William Zhang,Michelle Kim,CU-008,7500000,7500000,5500000,900000,0,1100000,7500000,2026-09-30,William Zhang,2026-04-30
2024-01-15,NAM,FAC009,PFAC008,Working Capital,Active,Revolving Credit,Committed,Medium,REL009,American Manufacturing Inc.,CAID009,Richard Thompson,Nancy White,CU-009,3000000,3000000,2200000,350000,0,450000,3000000,2025-07-31,Richard Thompson,2025-02-28
2024-01-15,EMEA,FAC010,PFAC009,Acquisition Finance,Active,Bridge Loan,Committed,High,REL010,Continental Acquisitions SA,CAID010,Daniel Martin,Laura Jackson,CU-010,10000000,10000000,8000000,1500000,0,500000,10000000,2025-05-31,Daniel Martin,2025-01-15
2024-01-16,NAM,FAC011,PFAC010,Commercial Lending,Active,Term Loan,Committed,Low,REL011,Sunrise Enterprises,CAID011,Christopher Moore,Jessica Harris,CU-011,4500000,4500000,3200000,600000,0,700000,4500000,2025-10-31,Christopher Moore,2025-05-15
2024-01-16,LATAM,FAC012,PFAC011,Infrastructure,Active,Project Finance,Committed,Medium,REL012,Latino Infrastructure Fund,CAID012,Miguel Santos,Ana Lopez,CU-012,9000000,9000000,7000000,1200000,0,800000,9000000,2027-03-31,Miguel Santos,2026-12-31
2024-01-16,APAC,FAC013,PFAC012,Export Finance,Active,Letter of Credit,Uncommitted,Low,REL013,Asian Export Partners,CAID013,Kevin Tan,Rachel Wong,CU-013,2500000,2500000,1800000,300000,0,400000,2500000,2025-06-30,Kevin Tan,2025-03-15
